date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:17	53410/53410	---M-Z	200	added ('OK')	text/html	etag:%22b8c2819-d0a2-5d18284971200-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-analytics.html	(from )
13:35:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2010:35:16%20GMT	https://codervent.com/robots.txt		(from )
13:35:18	1747/1747	---M--	200	added ('OK')	image/png	etag:%22b8c26ec-6d3-5bb14308f7000%22	https://codervent.com/dashtreme/demo/vertical/assets/images/favicon-32x32.png	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:18	3684/3684	---M-Z	200	added ('OK')	text/css	etag:%22b8c27e5-e64-5bb2a9850b580-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/plugins/simplebar/css/simplebar.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:19	2768/2768	---M-Z	200	added ('OK')	text/css	etag:%22b8c27da-ad0-5bba95d231280-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:19	1929/1929	---M-Z	200	added ('OK')	text/css	etag:%22b8c27b9-789-5b43eb3f98700-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:20	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%22b8c27f2-1a47-5b43eb67a6580-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:20	17093/17093	---M-Z	200	added ('OK')	text/css	etag:%22b8c2793-42c5-5b43ea97bfb00-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/plugins/highcharts/css/highcharts-white.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/plugins/highcharts/css/highcharts-white.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:21	2339/2339	---M-Z	200	added ('OK')	text/css	etag:%22b8c24b5-923-5bb4391ddfa00-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/css/pace.min.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:21	12293/12293	---M-Z	200	added ('OK')	application/javascript	etag:%22b8c274a-3005-5ba7394529a00-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/js/pace.min.js	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:22	189391/189391	---M-Z	200	added ('OK')	text/css	etag:%22b8c24b1-2e3cf-5d181ca9fa600-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/css/bootstrap.min.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:23	5682/5682	---M-Z	200	added ('OK')	text/css	etag:%22b8c24b3-1632-5d18e8b871400-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/css/bootstrap-extended.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/css/bootstrap-extended.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:23	50499/50499	---M-Z	200	added ('OK')	text/css	etag:%22b8c24b0-c543-5c0e5fd768500-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/css/app.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/css/app.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:24	157240/157240	---M-Z	200	added ('OK')	text/css	etag:%22b8c24b4-26638-5bb915a593100-gzip%22	https://codervent.com/dashtreme/demo/vertical/assets/css/icons.css	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/css/icons.css	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:24	2982/2982	---M--	200	added ('OK')	image/png	etag:%22b8c2728-ba6-5bb2a6de07380%22	https://codervent.com/dashtreme/demo/vertical/assets/images/logo-icon.png	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/assets/images/logo-icon.png	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:24	57916/57916	---M-Z	200	added ('OK')	text/html	etag:%22b8c2834-e23c-5d1828b258980-gzip%22	https://codervent.com/dashtreme/demo/vertical/index.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/index.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:25	72624/72624	---M-Z	200	added ('OK')	text/html	etag:%22b8c281c-11bb0-5d18285112400-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-eCommerce.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-eCommerce.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:26	63600/63600	---M-Z	200	added ('OK')	text/html	etag:%22b8c281e-f870-5d182856cb180-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-sales.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-sales.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:26	48576/48576	---M-Z	200	added ('OK')	text/html	etag:%22b8c2818-bdc0-5d18283846980-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-alternate.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-alternate.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:26	36748/36748	---M-Z	200	added ('OK')	text/html	etag:%22b8c281b-8f8c-5d18284d41b00-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-digital-marketing.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-digital-marketing.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:27	38985/38985	---M-Z	200	added ('OK')	text/html	etag:%22b8c281d-9849-5d182852fa880-gzip%22	https://codervent.com/dashtreme/demo/vertical/dashboard-human-resources.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/dashboard-human-resources.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:27	57536/57536	---M-Z	200	added ('OK')	text/html	etag:%22b8c24a8-e0c0-5d18279dc7d00-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-emailbox.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-emailbox.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:28	48626/48626	---M-Z	200	added ('OK')	text/html	etag:%22b8c24a6-bdf2-5d18279626b00-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-chat-box.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-chat-box.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:28	48167/48167	---M-Z	200	added ('OK')	text/html	etag:%22b8c24aa-bc27-5d1827a568f00-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-file-manager.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-file-manager.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:29	42453/42453	---M-Z	200	added ('OK')	text/html	etag:%22b8c24a7-a5d5-5d182799f7400-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-contact-list.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-contact-list.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:29	36464/36464	---M-Z	200	added ('OK')	text/html	etag:%22b8c24ad-8e70-5d1827b2c2e80-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-to-do.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-to-do.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:29	38354/38354	---M-Z	200	added ('OK')	text/html	etag:%22b8c24ac-95d2-5d1827ad0a100-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-invoice.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-invoice.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:30	35664/35664	---M-Z	200	added ('OK')	text/html	etag:%22b8c24ab-8b50-5d1827a939800-gzip%22	https://codervent.com/dashtreme/demo/vertical/app-fullcalender.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/app-fullcalender.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
13:35:30	52373/52373	---M-Z	200	added ('OK')	text/html	etag:%22b8c283c-cc95-5d1828d87e380-gzip%22	https://codervent.com/dashtreme/demo/vertical/widgets.html	C:/Benim%20Web%20Sitem/Iskur%20Finance%20Project/codervent.com/dashtreme/demo/vertical/widgets.html	(from https://codervent.com/dashtreme/demo/vertical/dashboard-analytics.html)
